"Group" "Month" "Combined" "Experimental"
"39" "S. citri" "4" "4_S._citri" "Experimental"
"40" "S. citri" "4" "4_S._citri" "Experimental"
"41" "S. citri" "4" "4_S._citri" "Experimental"
"42" "S. citri" "4" "4_S._citri" "Experimental"
"43" "S. citri" "4" "4_S._citri" "Experimental"
"44" "Mild CTV" "4" "4_Mild_CTV" "Experimental"
"45" "Mild CTV" "4" "4_Mild_CTV" "Experimental"
"46" "Mild CTV" "4" "4_Mild_CTV" "Experimental"
"47" "Mild CTV" "4" "4_Mild_CTV" "Experimental"
"48" "Mild CTV" "4" "4_Mild_CTV" "Experimental"
"49" "Stem-pitting CTV" "4" "4_Stem-pitting_CTV" "Experimental"
"50" "Stem-pitting CTV" "4" "4_Stem-pitting_CTV" "Experimental"
"51" "Stem-pitting CTV" "4" "4_Stem-pitting_CTV" "Experimental"
"52" "Stem-pitting CTV" "4" "4_Stem-pitting_CTV" "Experimental"
"53" "Stem-pitting CTV" "4" "4_Stem-pitting_CTV" "Experimental"
"54" "CLas" "4" "4_CLas" "Experimental"
"55" "CLas" "4" "4_CLas" "Experimental"
"56" "CLas" "4" "4_CLas" "Experimental"
"57" "CLas" "4" "4_CLas" "Experimental"
"58" "CLas" "4" "4_CLas" "Experimental"
"59" "CLas  Mild CTV" "4" "4_CLas__Mild_CTV" "Experimental"
"60" "CLas  Mild CTV" "4" "4_CLas__Mild_CTV" "Experimental"
"61" "CLas  Mild CTV" "4" "4_CLas__Mild_CTV" "Experimental"
"62" "CLas  Mild CTV" "4" "4_CLas__Mild_CTV" "Experimental"
"63" "CLas  Stem-pitting CTV" "4" "4_CLas__Stem-pitting_CTV" "Experimental"
"64" "CLas  Stem-pitting CTV" "4" "4_CLas__Stem-pitting_CTV" "Experimental"
"65" "CLas  Stem-pitting CTV" "4" "4_CLas__Stem-pitting_CTV" "Experimental"
"66" "CLas  Stem-pitting CTV" "4" "4_CLas__Stem-pitting_CTV" "Experimental"
"67" "CLas  Stem-pitting CTV" "4" "4_CLas__Stem-pitting_CTV" "Experimental"
"68" "Control" "8" "8_Control" "Control"
"69" "Control" "8" "8_Control" "Control"
"70" "Control" "8" "8_Control" "Control"
"71" "Control" "8" "8_Control" "Control"
"72" "Control" "8" "8_Control" "Control"
"73" "S. citri" "8" "8_S._citri" "Experimental"
"74" "S. citri" "8" "8_S._citri" "Experimental"
"75" "S. citri" "8" "8_S._citri" "Experimental"
"76" "S. citri" "8" "8_S._citri" "Experimental"
"77" "S. citri" "8" "8_S._citri" "Experimental"
"78" "Mild CTV" "8" "8_Mild_CTV" "Experimental"
"79" "Mild CTV" "8" "8_Mild_CTV" "Experimental"
"80" "Mild CTV" "8" "8_Mild_CTV" "Experimental"
"81" "Mild CTV" "8" "8_Mild_CTV" "Experimental"
"82" "Mild CTV" "8" "8_Mild_CTV" "Experimental"
"83" "Stem-pitting CTV" "8" "8_Stem-pitting_CTV" "Experimental"
"84" "Stem-pitting CTV" "8" "8_Stem-pitting_CTV" "Experimental"
"85" "Stem-pitting CTV" "8" "8_Stem-pitting_CTV" "Experimental"
"86" "Stem-pitting CTV" "8" "8_Stem-pitting_CTV" "Experimental"
"87" "Stem-pitting CTV" "8" "8_Stem-pitting_CTV" "Experimental"
"88" "CLas" "8" "8_CLas" "Experimental"
"89" "CLas" "8" "8_CLas" "Experimental"
"90" "CLas" "8" "8_CLas" "Experimental"
